,composition,phases,hardness (HV),temperature (C),compressive ys (MPa),compressive strength (MPa),compressive strain (%),doi,ys (MPa),uts (MPa),elongation (%),pmg_comp,is_ductile,Mo,Nb,Ta,V,W,Cr,Ti,Al,Co,Cu,Fe,Ni,Re,C,Hf,Zr,Si,Mn,Ru
45,HfMoRuW,,833.4,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Ru1 W1,False,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
46,HfTaReMoW,,827.6333333333332,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Re1 Ta1 W1,False,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0
48,HfTaMoRuW,,849.0,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Ru1 Ta1 W1,False,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2
49,TaNbMoRuW,,838.7333333333332,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Mo1 Nb1 Ru1 Ta1 W1,False,0.2,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
50,Re33.33333333Ru33.33333333W33.33333333,,463.3666666666666,25.0,,,50.0,10.1016/j.dib.2022.108582,,,,Re33.33333333 Ru33.33333333 W33.33333333,True,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
52,HfTaRuW,,836.1999999999999,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Ru1 Ta1 W1,False,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25
54,ReMoRuW,,1219.9666666666667,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Mo1 Re1 Ru1 W1,False,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.25
55,Hf33.33333333Ru33.33333333W33.33333333,,813.5999999999999,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf33.33333333 Ru33.33333333 W33.33333333,False,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
56,HfTaReRuW,,1068.0333333333333,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf1 Re1 Ru1 Ta1 W1,False,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
58,Hf33.33333333Mo33.33333333W33.33333333,,923.8,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf33.33333333 Mo33.33333333 W33.33333333,False,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
60,Hf4Ta3Re5(MoW)4,,953.5666666666666,25.0,,,0.0,10.1016/j.dib.2022.108582,,,,Hf4 Mo4 Re5 Ta3 W4,False,0.2,0.0,0.15,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2,0.0,0.0,0.0,0.0
62,HfReMoW,,946.0666666666666,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf1 Mo1 Re1 W1,False,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
63,Ta16.66666667Nb16.66666666Re16.66666667Mo16.66666666Ru16.66666667W16.66666667,,857.1,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Mo16.66666666 Nb16.66666666 Re16.66666667 Ru16.66666667 Ta16.66666667 W16.66666667,False,0.1666666666,0.1666666666,0.16666666670000002,0.0,0.16666666670000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666670000002,0.0,0.0,0.0,0.0,0.0,0.16666666670000002
65,Hf33.33333333Re33.33333333W33.33333333,,1041.3333333333333,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Hf33.33333333 Re33.33333333 W33.33333333,False,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
73,Re27.5Mo45W27.5,,408.1333333333333,25.0,,,10.0,10.1016/j.dib.2022.108582,,,,Mo45 Re27.5 W27.5,True,0.45,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.275,0.0,0.0,0.0,0.0,0.0,0.0
74,TaNbReW,,654.0333333333333,25.0,,,0.1,10.1016/j.dib.2022.108582,,,,Nb1 Re1 Ta1 W1,False,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
75,Re33.33333333Mo33.33333333W33.33333333,,450.19999999999993,25.0,,,20.0,10.1016/j.dib.2022.108582,,,,Mo33.33333333 Re33.33333333 W33.33333333,True,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
