,Composition,Phases present,Hardness (HVN),Yield Strength (MPa),Ultimate Tensile Strength (MPa),Elongation (%),Compressive strength (MPa),Plasticity (%) - Compressive,Note on any unqiue processing or data features,Source,FCC,BCC,HCP,IM,Ag,Al,B,C,Ca,Co,Cr,Cu,Fe,Ga,Ge,Hf,Li,Mg,Mn,Mo,N,Nb,Nd,Ni,Pd,Re,Sc,Si,Sn,Ta,Ti,V,W,Y,Zn,Zr
355,Al0.5CoCrFeMo0.3Ni,FCC+BCC+σ,340,,,,2101,31,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.104,0,0,0,0.208,0.208,0,0.208,0,0,0,0,0,0,0.062,0,0,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0
356,Al0.5CoCrFeMo0.4Ni,FCC+BCC+σ,430,,,,2117,18,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.102,0,0,0,0.204,0.204,0,0.204,0,0,0,0,0,0,0.082,0,0,0,0.204,0,0,0,0,0,0,0,0,0,0,0,0
357,CoCrCu0.1FeMoNi,FCC+BCC,,,,,3012,51.6,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.196,0.196,0.02,0.196,0,0,0,0,0,0,0.196,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0,0
358,CoCrCu0.3FeMoNi,FCC+BCC,,,,,1800,9,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.189,0.189,0.057,0.189,0,0,0,0,0,0,0.189,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
359,CoCrCu0.5FeMoNi,FCC1+FCC2+BCC,,,,,1900,20,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.182,0.182,0.091,0.182,0,0,0,0,0,0,0.182,0,0,0,0.182,0,0,0,0,0,0,0,0,0,0,0,0
360,CoCrCu0.8FeMoNi,FCC1+FCC2+BCC,,,,,1970,18,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.172,0.172,0.138,0.172,0,0,0,0,0,0,0.172,0,0,0,0.172,0,0,0,0,0,0,0,0,0,0,0,0
361,CoCrCuFeMoNi,FCC1+FCC2+BCC,,,,,1750,12,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0,0,0,0,0.167,0.167,0.167,0.167,0,0,0,0,0,0,0.167,0,0,0,0.167,0,0,0,0,0,0,0,0,0,0,0,0
362,AlCoCrCuFeNiMo0.2,FCC,,,,,2240,3.5,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,0,0,0.161,0,0,0,0.161,0.161,0.161,0.161,0,0,0,0,0,0,0.032,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0
363,AlCoCrCuFeNiMo0.4,FCC+BCC+α,,,,,2660,1.5,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.156,0,0,0,0.156,0.156,0.156,0.156,0,0,0,0,0,0,0.062,0,0,0,0.156,0,0,0,0,0,0,0,0,0,0,0,0
364,AlCoCrCuFeNiMo0.6,FCC+BCC+α,,,,,2820,1.4,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.152,0,0,0,0.152,0.152,0.152,0.152,0,0,0,0,0,0,0.091,0,0,0,0.152,0,0,0,0,0,0,0,0,0,0,0,0
365,AlCoCrCuFeNiMo0.2,FCC+BCC+α,,,,,2640,1.2,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.161,0,0,0,0.161,0.161,0.161,0.161,0,0,0,0,0,0,0.032,0,0,0,0.161,0,0,0,0,0,0,0,0,0,0,0,0
366,AlCoCrCuFeNiMo0.8,FCC+BCC+α,,,,,2600,1.1,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,1,0,0.147,0,0,0,0.147,0.147,0.147,0.147,0,0,0,0,0,0,0.118,0,0,0,0.147,0,0,0,0,0,0,0,0,0,0,0,0
367,CoCrFeNiMo0.3,FCC,,,,,1269,58,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,0,0,0,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0.07,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
368,CoCrFeNiMo0.5,FCC+σ,,,,,1371,33,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,1,0,0,0,0,0,0.222,0.222,0,0.222,0,0,0,0,0,0,0.111,0,0,0,0.222,0,0,0,0,0,0,0,0,0,0,0,0
369,CoCrFeNiMo0.85,FCC+σ+μ,,,,,1441,21,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,0,0,1,0,0,0,0,0,0.206,0.206,0,0.206,0,0,0,0,0,0,0.175,0,0,0,0.206,0,0,0,0,0,0,0,0,0,0,0,0
370,Co30.0Cr10.0Fe10.0Al18.0Ni31.0Mo,FCC+BCC,357,,,,1159,18.2,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0.18,0,0,0,0.3,0.1,0,0.1,0,0,0,0,0,0,0.01,0,0,0,0.31,0,0,0,0,0,0,0,0,0,0,0,0
371,Co30.0Cr10.0Fe10.0Al18.0Ni30.0Mo2.0,FCC+BCC,362,,,,1250,14.7,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0.18,0,0,0,0.3,0.1,0,0.1,0,0,0,0,0,0,0.02,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0
372,Co30.0Cr10.0Fe10.0Al18.0Ni29.0Mo3.0,FCC+BCC,359,,,,1198,14.5,Arc melting,https://doi.org/10.1016/j.vacuum.2020.109173,1,1,0,0,0,0.18,0,0,0,0.3,0.1,0,0.1,0,0,0,0,0,0,0.03,0,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,0
373,Al20.0Cr10.0Nb15.0Ti20.0V25.0Zr10.0,B2,665,,,,,,As-cast,https://doi.org/10.1016/j.matlet.2020.127372,0,0,0,1,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.2,0.25,0,0,0,0.1
374,Al20.0Cr10.0Nb15.0Ti20.0V25.0Zr10.0,B2,,,,,,,"Annealed at 1200 ◦C, 24 h",https://doi.org/10.1016/j.matlet.2020.127372,0,0,0,1,0,0.2,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0,0,0.2,0.25,0,0,0,0.1
375,Cr15.0Fe20.0Co35.0Ni20.0Mo10.0,FCC+μ,,408,714,22,,,"AM, HM",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,1,0,0,0,0,0,0.35,0.15,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
376,Cr15.0Fe20.0Co35.0Ni20.0Mo10.0,FCC+μ,,1311,1410,12,,,"AM, HM, HR, CR 70%, AN 800 ◦ C/1h, AC",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,1,0,0,0,0,0,0.35,0.15,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
377,Cr15.0Fe20.0Co35.0Ni20.0Mo10.0,FCC+μ,,1212,1360,15,,,"AM, HM, HR, CR 70%, AN 850 ◦ C/5min, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,1,0,0,0,0,0,0.35,0.15,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
378,Cr15.0Fe20.0Co35.0Ni20.0Mo10.0,FCC+μ,,1028,1249,18,,,"AM, HM, HR, CR 70%, AN 900 ◦ C/5min, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,1,0,0,0,0,0,0.35,0.15,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
379,Cr15.0Fe20.0Co35.0Ni20.0Mo10.0,FCC+μ,,879,1194,25,,,"AM, HM, HR, CR 70%, AN 1000 ◦ C/5min, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,1,0,0,0,0,0,0.35,0.15,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
380,Cr15.0Fe20.0Co35.0Ni20.0Mo10.0,FCC+μ,,799,1127,28,,,"AM, HM, HR, CR 70%, AN 1000 ◦ C/1h, AC",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,1,0,0,0,0,0,0.35,0.15,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
381,Cr15.0Fe20.0Co35.0Ni20.0Mo10.0,FCC+μ,,350,918,62,,,"AM, HM, HR, CR 70%, AN 1500 ◦ C/1h, AC",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,1,0,0,0,0,0,0.35,0.15,0,0.2,0,0,0,0,0,0,0.1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
382,Al0.3CoCrFeNi,FCC,,159,410,65,,,"AM, CR 90%, SN 1150 ◦ C/60 min, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
383,Al0.3CoCrFeNi,FCC,,220,550,60,,,"AM, CR 90%, SN 1150 ◦ C/5 min, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
384,Al0.3CoCrFeNi,FCC,,215,520,43,,,"AM, CR 90%, SN 1150 ◦C/60 min, AG 700 ◦C/50 h, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
385,Al0.3CoCrFeNi,FCC,,285,540,55,,,"AM,CR90%,SN1150◦C/60min,AG550◦C/150h,WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
386,Al0.3CoCrFeNi,FCC,,263,589,60,,,"AM, CR 90%, SN 1150 ◦ C/2 min, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
387,Al0.3CoCrFeNi,FCC,,490,840,45,,,"AM, CR 90%, SN 1150 ◦C/2 min, AG 620 ◦C/50 h, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
388,TiZrNbHfTa,BCC,,830,830,9,,,"AM, IM, CR, HT 1100 ◦ C/5h",https://doi.org/10.1016/j.pmatsci.2021.100777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
389,TiZrNbHfTa,BCC,,1900,1900,8,,,"AM, IM, CR, HT 1100 ◦ C/5h, HPT",https://doi.org/10.1016/j.pmatsci.2021.100777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
390,TiZrNbHfTa,BCC + HCP,,1520,1520,2,,,"M, IM, CR, HT 1100 ◦ C/5h, HPT, AN 500 ◦ C/1h",https://doi.org/10.1016/j.pmatsci.2021.100777,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
391,TiZrNbHfTa,BCC1 + BCC2,,795,795,5,,,"AM, IM, CR, HT 1100 ◦ C/5h, HPT, AN 800 ◦ C/1h",https://doi.org/10.1016/j.pmatsci.2021.100777,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2
392,FeCoNiMn0.25Al0.25,FCC,,138,484,58,,,AM,https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.071,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0.071,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
393,FeCoNiMn0.25Al0.25,FCC,,623,1030,8,,,"M, CR 70%",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.071,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0.071,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
394,FeCoNiMn0.25Al0.25,FCC,,331,651,48,,,"AM, CR 70%, AN 900 oC/1h, WQ",https://doi.org/10.1016/j.pmatsci.2021.100777,1,0,0,0,0,0.071,0,0,0,0.286,0,0,0.286,0,0,0,0,0,0.071,0,0,0,0,0.286,0,0,0,0,0,0,0,0,0,0,0,0
395,Al0.3FeCoNi,FCC+BCC,153,221,486,41,,,Arc melting,https://doi.org/10.1016/j.jallcom.2020.158436,1,1,0,0,0,0.091,0,0,0,0.303,0,0,0.303,0,0,0,0,0,0,0,0,0,0,0.303,0,0,0,0,0,0,0,0,0,0,0,0
396,Al0.3Cr0.5FeCoNi,FCC+BCC,163,233,504,45,,,Arc melting,https://doi.org/10.1016/j.jallcom.2020.158436,1,1,0,0,0,0.079,0,0,0,0.263,0.132,0,0.263,0,0,0,0,0,0,0,0,0,0,0.263,0,0,0,0,0,0,0,0,0,0,0,0
397,Al0.3CrFeCoNi,FCC+BCC,171,259,559,47,,,Arc melting,https://doi.org/10.1016/j.jallcom.2020.158436,1,1,0,0,0,0.07,0,0,0,0.233,0.233,0,0.233,0,0,0,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
398,Al0.3Cr1.5FeCoNi,FCC+BCC,191,294,640,44,,,Arc melting,https://doi.org/10.1016/j.jallcom.2020.158436,1,1,0,0,0,0.062,0,0,0,0.208,0.312,0,0.208,0,0,0,0,0,0,0,0,0,0,0.208,0,0,0,0,0,0,0,0,0,0,0,0
399,Al0.3Cr1.7FeCoNi,FCC+BCC,229,338,742,28,,,Arc melting,https://doi.org/10.1016/j.jallcom.2020.158436,1,1,0,0,0,0.06,0,0,0,0.2,0.34,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
400,Al0.3Cr2.0FeCoNi,FCC+BCC,343,546,1078,11,,,Arc melting,https://doi.org/10.1016/j.jallcom.2020.158436,1,1,0,0,0,0.057,0,0,0,0.189,0.377,0,0.189,0,0,0,0,0,0,0,0,0,0,0.189,0,0,0,0,0,0,0,0,0,0,0,0
401,CoCrFeNi,FCC,,240,464,45,156,55,rolling and annealing,https://doi.org/10.1016/j.jallcom.2020.154159,1,0,0,0,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
402,CoCrFeNiHf0.1,FCC,,350,640,29,345,51.8,rolling and annealing,https://doi.org/10.1016/j.jallcom.2020.154159,1,0,0,0,0,0,0,0,0,0.244,0.244,0,0.244,0,0,0.024,0,0,0,0,0,0,0,0.244,0,0,0,0,0,0,0,0,0,0,0,0
403,CoCrFeNiHf0.2,FCC,,450,616,6,637,39.8,rolling and annealing,https://doi.org/10.1016/j.jallcom.2020.154159,1,0,0,0,0,0,0,0,0,0.238,0.238,0,0.238,0,0,0.048,0,0,0,0,0,0,0,0.238,0,0,0,0,0,0,0,0,0,0,0,0
404,CoCrFeNiHf0.3,FCC,,,,,1177,12,rolling and annealing,https://doi.org/10.1016/j.jallcom.2020.154159,1,0,0,0,0,0,0,0,0,0.233,0.233,0,0.233,0,0,0.07,0,0,0,0,0,0,0,0.233,0,0,0,0,0,0,0,0,0,0,0,0
405,CoCrFeNiHf0.4,C15 Laves+FCC,,,,,1501,4.5,rolling and annealing,https://doi.org/10.1016/j.jallcom.2020.154159,1,0,0,1,0,0,0,0,0,0.227,0.227,0,0.227,0,0,0.091,0,0,0,0,0,0,0,0.227,0,0,0,0,0,0,0,0,0,0,0,0
406,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,,,,2238,,1600°C and 10min sintering,https://doi.org/10.1016/j.jallcom.2021.162505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
407,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,,,,2519,,1700°C and 10min sintering,https://doi.org/10.1016/j.jallcom.2021.162505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
408,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,,,,2258,,1800°C and 1min sintering,https://doi.org/10.1016/j.jallcom.2021.162505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
409,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,,,,1978,,1800°C and 5min sintering,https://doi.org/10.1016/j.jallcom.2021.162505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
410,W35.0Ta35.0Mo10.0Nb10.0V10.0,FCC,,,,,2267,,1800°C and 10min sintering,https://doi.org/10.1016/j.jallcom.2021.162505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0.35,0,0.1,0.35,0,0,0
411,AlCoCrFeNi,FCC+BCC+σ,,,,,1348,12,As-cast,https://doi.org/10.1016/j.jmst.2020.08.063,1,1,0,1,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
412,AlCoCrFeNi,FCC+BCC+σ,,,,,1397,9,650°C-10h,https://doi.org/10.1016/j.jmst.2020.08.063,1,1,0,1,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
413,AlCoCrFeNi,FCC+BCC,,,,,910,38,1000°C-10h,https://doi.org/10.1016/j.jmst.2020.08.063,1,1,0,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
414,AlCoCrFeNi,FCC+BCC,,,,,1148,28,1200°C-10h,https://doi.org/10.1016/j.jmst.2020.08.063,1,1,0,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
415,AlCoCrFeNi,FCC+BCC,,,,,1247,25,1250°C-10h,https://doi.org/10.1016/j.jmst.2020.08.063,1,1,0,0,0,0.2,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
416,CoCrFeNi,SP+FCC,173.6,,527.3,,,,,https://doi.org/10.1016/j.jmst.2021.01.054,1,0,0,1,0,0,0,0,0,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
417,CoCrFeNiV,FCC + σ,377.5,,424.1,,,,,https://doi.org/10.1016/j.jmst.2021.01.054,1,0,0,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0
418,CoCrFeNiMn,FCC,175.7,,495.9,,,,,https://doi.org/10.1016/j.jmst.2021.01.054,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
419,CoCrFeNiCu,FCC,152.9,,558.3,,,,,https://doi.org/10.1016/j.jmst.2021.01.054,1,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
420,CoCrFeNiZr,IM+BCC,616.5,,1133.3,,,,,https://doi.org/10.1016/j.jmst.2021.01.054,0,1,0,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2
421,CoCrFeNiNb,IM+FCC,615.2,,1293.1,,,,,https://doi.org/10.1016/j.jmst.2021.01.054,1,0,0,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
422,CoCrFeNiHf,IM+BCC,586.1,,1209,,,,,https://doi.org/10.1016/j.jmst.2021.01.054,0,1,0,1,0,0,0,0,0,0.2,0.2,0,0.2,0,0,0.2,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0
423,NbMoTaWV,BCC,774,,,,2785,16.2,SPS,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
424,VNbMoTaW,BCC,535,,,,1246,1.7,Casting,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
425,AlCoCrFeNiTi0.5,BCC,,,,,2260,23.3,Casting,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0.182,0,0,0,0.182,0.182,0,0.182,0,0,0,0,0,0,0,0,0,0,0.182,0,0,0,0,0,0,0.091,0,0,0,0,0
426,Co25.0Ni25.0Fe25.0Al7.5Cu17.5,BCC,454,,,,1795,10.6,SPS,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0.075,0,0,0,0.25,0,0.175,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0
427,Al0.6CoNiFeTi0.4,BCC,712,,,,2732,10.1,SPS,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0.15,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0.1,0,0,0,0,0
428,AlMo0.5NbTa0.5TiZr,BCC,580,,,,2000,10,Casting,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.2,0,0,0,0,0,0,0,0.1,0.2,0,0,0,0,0.2
429,HfMo0.5NbTiV0.5,BCC,403,,,,1260,35,Casting,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0.125,0,0.25,0,0,0,0,0,0,0,0,0.25,0.125,0,0,0,0
430,HfMo0.5NbTiV0.5Si0.7,BCC,612,,,,1617,18.5,Casting,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213,0,0,0,0.106,0,0.213,0,0,0,0,0,0.149,0,0,0.213,0.106,0,0,0,0
431,Al0.6CrNbTi2.0V0.5,BCC,,,,,1240,50,Casting,https://doi.org/10.1016/j.vacuum.2022.110930,0,1,0,0,0,0.118,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0,0,0,0.392,0.098,0,0,0,0
432,FeMn30.0Al10.0C1.57Cr2.3Si0.3,FCC,,954.99,1043.56,34.21,,,,https://doi.org/10.1016/j.jallcom.2021.162028,1,0,0,0,0,0.221,0,0.035,0,0,0.051,0,0.022,0,0,0,0,0,0.664,0,0,0,0,0,0,0,0,0.007,0,0,0,0,0,0,0,0
433,FeMn30.0Al10.0C1.57Cr2.3Si0.3Ti0.3,FCC,,947.21,1056.43,27.75,,,,https://doi.org/10.1016/j.jallcom.2021.162028,1,0,0,0,0,0.22,0,0.035,0,0,0.051,0,0.022,0,0,0,0,0,0.66,0,0,0,0,0,0,0,0,0.007,0,0,0.007,0,0,0,0,0
434,FeMn30.0Al10.0C1.57Cr2.3Si0.3Ti0.6,FCC,,1031.75,1158.55,23.96,,,,https://doi.org/10.1016/j.jallcom.2021.162028,1,0,0,0,0,0.218,0,0.034,0,0,0.05,0,0.022,0,0,0,0,0,0.655,0,0,0,0,0,0,0,0,0.007,0,0,0.013,0,0,0,0,0
435,FeMn30.0Al10.0C1.57Cr2.3Si0.3Ti0.9,FCC,,1075.22,1113.65,21.01,,,,https://doi.org/10.1016/j.jallcom.2021.162028,1,0,0,0,0,0.217,0,0.034,0,0,0.05,0,0.022,0,0,0,0,0,0.651,0,0,0,0,0,0,0,0,0.007,0,0,0.02,0,0,0,0,0
436,Fe49.5Mn29.7Co9.9Cr9.9C,FCC+ γ,,666,986,27,,,Annealing at 650°C,https://doi.org/10.1016/j.jmst.2021.09.005,1,0,0,1,0,0,0,0.01,0,0.099,0.099,0,0.495,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
437,Fe49.5Mn29.7Co9.9Cr9.9C,FCC +γ,,526,948,35,,,Annealing at 800°C,https://doi.org/10.1016/j.jmst.2021.09.005,1,0,0,1,0,0,0,0.01,0,0.099,0.099,0,0.495,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438,Fe49.5Mn29.7Co9.9Cr9.9C,FCC +γ,,367,806,48,,,Annealing at 900°C,https://doi.org/10.1016/j.jmst.2021.09.005,1,0,0,1,0,0,0,0.01,0,0.099,0.099,0,0.495,0,0,0,0,0,0.297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
439,TaNbHfZr,FCC,367.3469,,,,,,"Caution: Data based on nano-identation, rather than hardness",https://doi.org/10.1016/j.surfcoat.2021.128005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25
440,NbMoTaW,FCC,459.1837,,,,,,,https://doi.org/10.1016/j.surfcoat.2021.128005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0,0,0,0,0,0,0,0.25,0,0,0.25,0,0,0
441,NbMoTaWV,FCC,540.8163,,,,,,,https://doi.org/10.1016/j.surfcoat.2021.128005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0.2,0,0.2,0.2,0,0,0
442,HfNbTiVZr,FCC,938.7755,,,,,,,https://doi.org/10.1016/j.surfcoat.2021.128005,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0.2
