,Ti,Au,Ca,Ag,Rh,Os,W,Mg,Tl,Hf,Li,Ir,Pt,Fe,Ni,Sr,V,Zr,Re,Ta,Na,Mo,Pd,Nb,Ru,Co,Be,Cr,Cd,Al,Zn,Cu,Ba,Mn
Itinerant electrons per atom (-),2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,2.0,1.0,0.0,2.0
Atomic weight (g/mol),47.87,196.97,40.08,107.87,102.91,190.23,183.84,24.31,204.38,178.49,6.94,192.22,195.08,55.85,58.69,87.62,50.94,91.22,186.21,180.95,22.99,95.95,106.42,92.91,101.07,58.93,9.01,52.0,112.41,26.98,65.38,63.55,137.33,54.94
Density (g/cm3),4.5,19.29,1.53,8.65,12.43,22.59,19.41,1.74,11.87,13.28,0.53,22.56,21.46,7.88,8.91,2.58,6.12,6.51,21.02,16.68,0.97,10.23,10.5,8.58,12.43,8.84,1.86,7.19,7.29,2.7,7.14,8.94,3.6,7.47
Molar heat capacity (J/mol K),25.06,25.42,25.93,25.35,24.98,24.7,24.27,24.87,26.32,25.73,24.86,25.1,25.86,25.1,26.07,26.4,24.89,25.36,25.48,25.36,28.2,24.06,25.98,24.6,24.06,24.81,16.44,23.35,26.02,24.2,25.39,24.44,28.07,26.32
Thermal conductivity (W/m/K),21.9,317.0,200.0,429.0,150.0,88.0,174.0,156.0,46.0,23.0,84.7,150.0,72.0,80.2,90.7,35.3,30.7,22.7,48.0,57.5,140.0,53.7,72.0,53.7,120.0,100.0,200.0,93.7,97.0,237.0,116.0,401.0,18.0,7.82
element,Titanium,Gold,Calcium,Silver,Rhodium,Osmium,Tungsten,Magnesium,Thallium,Hafnium,Lithium,Iridium,Platinum,Iron,Nickel,Strontium,Vanadium,Zirconium,Rhenium,Tantalum,Sodium,Molybdenum,Palladium,Niobium,Ruthenium,Cobalt,Beryllium,Chromium,Cadmium,Aluminum,Zinc,Copper,Barium,Manganese
shear modulus,44.0,27.0,7.4,30.0,150.0,222.0,161.0,17.0,2.8,30.0,4.2,210.0,61.0,82.0,76.0,6.1,47.0,33.0,178.0,67.0,3.3,20.0,44.0,38.0,173.0,76.0,132.0,115.0,19.0,26.0,43.0,48.0,4.9,80.81632653061224
poissons ratio,0.32,0.44,0.31,0.37,0.26,0.25,0.28,0.29,0.45,0.37,,0.26,0.38,0.29,0.31,0.28,0.37,0.34,0.3,0.34,,0.31,0.39,0.4,0.3,0.31,0.032,0.21,0.3,0.35,0.25,0.34,,0.225
youngs modulus,116.0,78.0,20.0,85.0,275.0,,411.0,45.0,8.0,78.0,4.9,528.0,168.0,211.0,200.0,,128.0,67.0,463.0,186.0,10.0,329.0,121.0,105.0,447.0,209.0,287.0,279.0,50.0,70.0,108.0,130.0,13.0,198.0
bulk modulus,110.0,220.0,17.0,100.0,380.0,,310.0,45.0,43.0,110.0,11.0,320.0,230.0,170.0,180.0,,160.0,69.79166666666667,370.0,200.0,6.3,230.0,180.0,170.0,220.0,180.0,130.0,160.0,42.0,76.0,70.0,140.0,9.4,120.0
